,회사명,공고명,경력,학력,계약유형,지역,채용기간
57,㈜웅진,[경력] JAVA기반 인사관리 솔루션 개발,경력9년↑,학력무관,정규직,서울 중구,상시채용
58,㈜픽소니어,"응용SW 개발자(C++, JAVA)",신입·경력3년↑,대졸↑,정규직,대전 유성구,D-1
59,㈜캐럿글로벌,웹개발자(PHP/JAVA/프론트) 경력 (강남),경력2년↑,초대졸↑,정규직,서울 서초구,D-27
60,㈜고려진단,"(오창) LG엔솔, Java, React, 초.중.고급, 체재비지원",경력3년↑,학력무관,프리랜서,충북 청주시 외,D-30
61,㈜쥬비스다이어트,시스템개발팀 JAVA 시스템 개발 유지보수 경력 채용,경력5년↑,학력무관,정규직,서울 강남구,D-29
62,푸른IT,천안 S대기업 생산 프로젝트 ( 자바개발자 ) 중급 4명 고급 2명,경력6년↑,초대졸↑,프리랜서,충남 아산시,D-9
63,낙스넷㈜,중급 자바개발자 모집 - 창원시 L대기업 전산실 수년간 장기 근무,경력6년↑,초대졸↑,프리랜서,경남 창원시,D-6
64,낙스넷㈜,초급 자바개발자 모집 - 창원시 L대기업 전산실 수년간 장기 근무,경력3년↑,초대졸↑,프리랜서,경남 창원시,D-6
65,㈜제이투이,[JAVA SM 을지로] 면세점 온라인 서비스 클라우드 인프라 운영 업무 JAVA개발 장기근무 을지로.........(1),경력6년↑,초대졸↑,계약직 외,서울 중구,D-4
66,㈜아이티사람들,"[ 초긴급,,,,,  JAVA개발자,(MES업무경험자 필수) -  안산 ]",경력5년↑,초대졸↑,계약직,경기 안산시,D-3
67,인텍솔루션㈜,"(광화문) 생명사 보전업무 운영) Pro-C, Java 중/고급 유지보수 모집",경력2년↑,학력무관,계약직 외,서울 종로구 외,D-2
68,㈜케이제이프로퍼티,[경력] JAVA 개발자 채용,경력5년↑,초대졸↑,정규직 외,서울 서초구 외,D-25
69,㈜키트넷,Java 및 생명보험 경험 운영 50명 모집,경력3년↑,학력무관,프리랜서,서울 영등포구,D-2
70,㈜엔시스템,Java 고급 개발자 [대전 한전 MES 프로젝트],경력7년↑,초대졸↑,프리랜서,대전 유성구,D-25
71,㈜비투넷,[SI-여의도-중급.고급] Java. React (필수)/ 채용시스템 구축/ 즉시부터-12월까지,경력6년↑,초대졸↑,프리랜서,서울 금천구 외,D-1
72,이컴라인,"12.[공덕역] 증권 금융, JAVA, Spring, Rest API, jquery, ELK Stack, 자바, 전자정부F/W, 중급",경력6년↑,초대졸↑,프리랜서,서울 마포구,D-24
73,㈜엔클랩,"000 MaaS 구축 프로젝트 (공공 프로젝트 /  java,  spring, 전자정부 / 설계, 분석 / 고급 )",경력10년↑,초대졸↑,계약직 외,서울 서초구,D-24
74,인텍솔루션㈜,"(을지로3가) 보험 퇴직연금 운영) Java, Websquare, Java-Script 중급/ 고급(하) 유지보수 모집",경력6년↑,학력무관,계약직 외,서울 중구 외,D-2
75,㈜HYSOFT,"Java,더존ERP경험우대(9월중순/25년6월말/여의도/고급) 프로그래머를 모십니다.",경력9년↑,초대졸↑,계약직 외,서울 구로구 외,D-2
76,푸른IT,천안 S대기업 생산 프로젝트 Vue.js 공통모듈 ( 자바개발자 ) 9월초부터 5개월,경력9년↑,초대졸↑,프리랜서,충남 아산시,D-7
77,한국유투더블유㈜,"[영등포, 중급] JAVA, SPRING, SM, 운영 개발자 채용",경력,학력무관,정규직 외,서울 영등포구,D-23
78,㈜HYSOFT,"React,Java ,MES경험(9월2일/25년3월14일/서울역(단기부산출장있음)/고급) 프로그래머를 모십니다.",경력9년↑,초대졸↑,계약직 외,서울 구로구 외,D-1
79,커리어넷,[ (주)레드소프트 ] JAVA 솔루션 웹개발 운영(SM) 경력 팀장 모집 (파견X),경력7년↑,대졸↑,계약직,서울 구로구,D-21
80,㈜상아매니지먼트컨설팅,[정규직] [JAVA/WEB] SI 신입&경력 인재를 모집합니다.,신입·경력3년↑,대졸↑,정규직 외,서울 강남구 외,D-2
81,㈜하이브랩,[하이브랩] Back-end (Java개발자) 경력직 채용 (7년 이상),경력7년↑,초대졸↑,정규직,경기 성남시,D-21
82,이컴라인,"12.[여의도] 자바, java, jsp, 증권, 금융, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-21
83,㈜엔시스템,Java 퇴직연금 경력 고급 개발자 (9월초 투입) [KB국민은행 프로젝트 - 서울 여의도],경력7년↑,초대졸↑,프리랜서,서울 영등포구,D-18
84,㈜영림원소프트랩,(주)영림원소프트랩 Java 개발자 모집,경력3년↑,대졸↑,정규직,서울 강서구,D-3
85,㈜YH데이타베이스,웹 개발자(Spring/Java) 및 앱 개발자(iOS&Android) 채용,경력무관,초대졸↑,정규직,대구 수성구,D-16
86,㈜비투넷,"[SI-마곡] Data 인터페이스 및 오라클 DB개발 (필수:Java, BizActor, PL/SQL)/ 즉시부터-11월까지",경력6년↑,초대졸↑,프리랜서,서울 금천구 외,D-1
87,㈜유진인포텍,[애오개역] JAVA PG백오피스 유경험 개발자 고급1명 구인 (즉시 - 11개월),경력6년↑,학력무관,계약직 외,서울 관악구,D-15
88,㈜스타일셀러,[스타일셀러] PHP/JAVA개발자 모집,경력5년↑,학력무관,정규직,서울 서초구,D-10
89,리드피플㈜,긴급 / 은행프로젝트 / JAVA / React.JS  다수 경험 필수 (또는 1년이상 경험) / 남대문 / 고급 1명 / 8월 중순 - 6개월이상 / 상세내용 참고,경력10년↑,대졸↑,계약직 외,서울 중구,D-10
90,이컴라인,"12.[여의도] 금융, 증권, 자바, java, 정보계, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-10
91,㈜위브릭스,[부산/경력] 함께 발전해나갈 웹 개발자(JAVA)분을 만나 뵙고 싶습니다.,경력5년↑,학력무관,정규직,부산 연제구,D-9
92,비에스파트너즈,[부산/경력] JAVA개발자 모집공고,경력5년↑,학력무관,정규직,부산 연제구,D-9
93,㈜지에프씨코리아,[신입-공공기관]  웹 개발  (java),경력무관,학력무관,계약직 외,서울 금천구,D-7
94,아크로노드,웹 개발(JAVA) 부문 담당자 채용,경력3년↑,초대졸↑,정규직,서울 금천구,D-37
95,혁산정보시스템,JAVA개발부문 경력자 채용,경력3년↑,초대졸↑,정규직,서울 영등포구,D-3
96,애니로직,"[(주)애니로직] (경력3년이상,15년이하) 웹 개발자 - JAVA/SPRING",경력3년↑,초대졸↑,정규직 외,서울 금천구,D-30
97,㈜씨아이엔텍,웹디자인 부문 /  Java개발 부문/ 영업 및 마케팅 부문  (상시채용),경력무관,초대졸↑,정규직,서울 강동구,D-26
98,㈜고고에프앤디,[고고에프앤디] [서울] 백앤드 JAVA 개발자를 찾습니다.(경력),경력1년↑,학력무관,정규직,서울 마포구,D-25
99,건솔루션㈜,[경북-대구시] JAVA 웹개발자 -정규직 사원 모집 (스마트팩토리 & 경력 12년이상 우대),경력12년↑,초대졸↑,정규직,대구 달서구,D-23
